SAND,CLAY,SILT,BD,KSAT,SAT,DUL,LL,AirDry,PO,SWCON,CONA,DiffusConst,XF_maize,KL_maize,e,PH,CO,CEC,SW,TOP_LAYER,BOT_LAYER,THICK,RootCN,RootWt,id_cell,id_within_cell
34.0,30.0,36.0,1.8,6.186351476764354,0.31818181818181823,0.314,0.204,0.204,0.320754716981132,0.021058823529411543,4.0,40.0,1.0,0.06254020752686196,0.5,7.41,0.436046511627907,17.5,0.314,400,600,200,45,1000,301,4
34.2,27.6,38.2,1.8,8.129853601758672,0.3181818181818183,0.298,0.1894,0.1894,0.320754716981132,0.07094117647058804,3.94,40.0,1.0,0.058136279404939775,0.5,7.41,0.3552905979487741,15.8,0.298,600,800,200,45,1000,301,4
35.0,18.0,47.0,1.8,15.903862101735944,0.31818181818181823,0.23399999999999999,0.131,0.131,0.320754716981132,0.270470588235294,3.7,40.0,1.0,0.040520566917251026,0.5,7.41,0.03226694323224286,9.0,0.23399999999999999,800,1000,200,45,1000,301,4
35.0,18.0,47.0,1.8,15.903862101735944,0.31818181818181823,0.234,0.131,0.131,0.320754716981132,0.270470588235294,3.7,40.0,1.0,0.040520566917251026,0.5,7.41,0.03226694323224286,9.0,0.234,1000,1500,500,45,1000,301,4
35.0,18.0,47.0,1.8,15.903862101735944,0.31818181818181823,0.23399999999999999,0.131,0.131,0.320754716981132,0.270470588235294,3.7,40.0,1.0,0.040520566917251026,0.5,7.409999999999999,0.03226694323224286,9.0,0.23399999999999999,1500,2000,500,45,1000,301,4
9.0,17.0,74.0,1.41,5.630367467015884,0.403,0.278,0.12300000000000001,0.1107,0.4679245283018868,0.40588709677419355,3.675,40.0,1.0,0.08,0.5,7.41,1.453488372093023,13.5,0.278,0,50,50,45,1000,323,2
9.0,17.0,74.0,1.41,5.630367467015884,0.403,0.278,0.12300000000000001,0.1107,0.4679245283018868,0.40588709677419355,3.675,40.0,1.0,0.08,0.5,7.41,1.453488372093023,13.5,0.278,50,100,50,45,1000,323,2
9.0,17.0,74.0,1.41,5.630367467015884,0.403,0.278,0.12300000000000001,0.1107,0.4679245283018868,0.40588709677419355,3.675,40.0,1.0,0.08,0.5,7.41,1.453488372093023,13.5,0.278,100,150,50,45,1000,323,2
9.0,17.0,74.0,1.41,5.630367467015884,0.403,0.278,0.12300000000000001,0.1107,0.4679245283018868,0.40588709677419355,3.675,40.0,1.0,0.08,0.5,7.41,1.453488372093023,13.5,0.278,150,200,50,45,1000,323,2
3.75,24.5,71.75,1.635,3.979264651461366,0.3649545454545455,0.3035,0.15974999999999998,0.15667499999999998,0.38301886792452833,0.19179092312971868,3.8625,40.0,1.0,0.06657796605521826,0.5,7.41,0.6904069767441859,14.25,0.3035,200,400,200,45,1000,323,2
2.0,27.0,71.0,1.71,3.4288970462765263,0.3522727272727273,0.312,0.172,0.172,0.3547169811320755,0.1204255319148937,3.925,40.0,1.0,0.06210395474029101,0.5,7.41,0.436046511627907,14.5,0.312,400,600,200,45,1000,323,2
2.0,27.0,71.0,1.71,3.4288970462765263,0.3522727272727273,0.312,0.172,0.172,0.3547169811320755,0.1204255319148937,3.925,40.0,1.0,0.06210395474029101,0.5,7.41,0.436046511627907,14.5,0.312,600,800,200,45,1000,323,2
2.0,20.35,77.65,1.71,3.5367928748000845,0.3522727272727273,0.28445,0.1321,0.1321,0.3547169811320755,0.19809308510638296,3.75875,40.0,1.0,0.046312796451150995,0.5,7.41,0.43604651162790703,14.5,0.28445,800,1000,200,45,1000,323,2
2.72,10.64,86.64,1.6092,4.848887169744746,0.36719636363636365,0.17860000000000004,0.06952,0.06952,0.392754716981132,0.5328106382978723,3.516,40.0,1.0,0.03827639733088378,0.5,7.41,0.22674418604651164,11.26,0.17860000000000004,1000,1500,500,45,1000,323,2
3.0,7.0,90.0,1.57,5.356937668072158,0.373,0.138,0.046,0.046,0.40754716981132066,0.6613888888888888,3.425,40.0,1.0,0.035474341848510796,0.5,7.409999999999999,0.14534883720930233,10.0,0.138,1500,2000,500,45,1000,323,2
39.0,27.0,34.0,1.73,10.568801092469073,0.34469696969696967,0.296,0.296,0.28119999999999995,0.34716981132075475,0.1473913043478262,3.925,40.0,1.0,0.07742499570066717,0.5,7.41,37.7906976744186,162.5,0.296,0,50,50,45,1000,476,2
39.0,27.0,34.0,1.73,10.568801092469073,0.34469696969696967,0.296,0.296,0.28119999999999995,0.34716981132075475,0.1473913043478262,3.925,40.0,1.0,0.07742499570066717,0.5,7.41,37.7906976744186,162.5,0.296,50,100,50,45,1000,476,2
